id,loan_status,int_rate,addr_state,num_actv_rev_tl,num_sats,emp_length,funded_amnt,last_pymnt_amnt,annual_inc,avg_cur_bal
0,Fully Paid,12.4,GA,2,7,6,10000,10163.74,38000,19266
1,Fully Paid,17.97,FL,5,8,9,15000,15157.24,45000,3329
2,Fully Paid,13.08,VA,6,14,1,35000,35067.4,125890,28648
3,Fully Paid,17.19,MO,5,12,5,17500,17955.12,82000,11815
4,Fully Paid,28.8,OH,6,6,6,13750,13861.98,17808,2802
5,Fully Paid,13.9,NY,3,5,10,10000,10153.57,90000,4943
6,Fully Paid,7.56,MD,3,5,1,2400,2402.57,45000,17207
7,Fully Paid,12.4,NC,2,6,4,12000,6418.44,150000,13806
8,Fully Paid,6.46,TX,1,7,8,10000,10009.5,59000,14765
9,Fully Paid,20,NY,4,22,10,26100,26779.08,68000,19241
10,Fully Paid,12.4,CA,2,11,10,31000,31056.59,105000,46105
11,Fully Paid,13.08,AZ,8,11,10,24000,24054.94,82500,27945
12,Fully Paid,16.4,TN,2,17,2,8000,8019.32,46000,12189
13,Fully Paid,13.9,TX,5,10,10,17000,17034.79,62000,4873
14,Fully Paid,20,TN,6,18,7,28000,28713.11,54000,10537
15,Fully Paid,7.56,NJ,4,14,1,15000,15016.54,115000,28186
16,Fully Paid,20,NV,6,8,1,13000,13052.72,30000,2446
17,Fully Paid,16.4,NC,3,7,6,3600,3611.97,46000,2632
18,Fully Paid,11.71,IL,3,4,3,10500,10517.08,100000,666
19,Fully Paid,20,CA,9,18,10,14000,14155.56,170000,46017
20,Fully Paid,15.57,VT,0,7,6,20000,20045.85,46620,9549
21,Fully Paid,7.02,NY,3,8,7,7000,7030.03,79950,17041
22,Fully Paid,17.97,NJ,5,8,5,28000,28487.7,45000,2026
23,Fully Paid,17.19,MI,3,6,1,14000,14034.63,60000,4517
24,Fully Paid,15.57,MD,4,20,10,26000,26058.25,69000,7603
25,Fully Paid,7.02,WA,4,7,8,35000,35081.9,101000,8873
26,Fully Paid,16.4,MI,9,19,1,12000,6418.44,130000,12355
27,Charged Off,17.19,NY,1,5,1,6000,0,77500,9551
28,Charged Off,20,OK,13,15,6,5000,0,44000,2041
29,Fully Paid,20,FL,3,3,6,5000,5019.44,24000,1333
30,Fully Paid,8.19,CA,6,16,1,18000,18021.21,72000,4410
31,Fully Paid,22.5,NY,2,7,6,16000,16350,60000,2675
32,Charged Off,8.19,CA,10,20,10,10000,314.25,118000,38981
33,Fully Paid,15.57,CA,4,7,5,1200,1224.71,60000,4314
34,Fully Paid,14.74,AR,3,10,10,30925,30990.59,66000,24494
35,Fully Paid,15.57,VA,7,7,10,12000,6418.44,72000,6587
36,Fully Paid,11.71,CA,2,7,6,3000,3030.23,54000,31719
37,Fully Paid,11.71,NC,4,20,2,3000,3007.81,48000,3217
38,Fully Paid,14.74,SC,3,12,1,9000,9117.76,46000,2848
39,Fully Paid,7.56,OH,2,10,10,12000,92.4,150000,14197
40,Fully Paid,7.02,NY,5,17,1,10000,10104.13,72000,34727
41,Fully Paid,7.02,AZ,2,18,6,15000,15014.8,63000,14187
42,Fully Paid,10.33,OH,1,4,1,6000,6008.92,25000,9332
43,Fully Paid,7.02,CA,4,10,1,13000,19.29,160000,20962
44,Fully Paid,8.19,MA,5,13,1,12000,6418.44,70000,38111
45,Fully Paid,12.4,MA,5,6,10,6025,6089.77,50000,749
46,Fully Paid,20,NJ,11,11,1,20000,20288.89,80000,6
47,Charged Off,20,IL,5,9,2,18000,0,38000,1221
48,Fully Paid,28.8,FL,9,14,10,20000,20607.02,156000,20387
49,Fully Paid,14.74,FL,8,12,10,7500,7536.85,70000,1835
50,Charged Off,11.71,AL,2,2,5,3000,0,38400,816
51,Fully Paid,13.08,NJ,1,4,10,11000,11028.78,150000,20550
52,Fully Paid,7.56,NY,4,13,10,6000,20.26,125000,26312
53,Fully Paid,13.08,NY,5,9,6,6000,6114.4,35707,1119
54,Fully Paid,8.19,GA,3,6,10,9000,9028.67,74000,4677
55,Fully Paid,16.4,FL,5,8,8,12000,6418.44,160000,8873
56,Fully Paid,8.81,CA,3,6,6,15000,15116.94,65000,49441
57,Fully Paid,20,CA,4,17,10,12000,6418.44,40000,41615
